Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M04, d_model=128, n_heads=4, n_layers=2
Params: 553,566 total, 396,544 core
WD: start=0.05, max=0.2987, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep      0 | tr=0.0016 te=0.0018 loss=6.8319 wd=0.0500 t=27.3s | c0(p=601)=0.00
  Ep    100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=46.2s | c0(p=601)=0.00
  Ep    200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=84.3s | c0(p=601)=0.00
  Ep    300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=96.7s | c0(p=601)=0.00
  Ep    400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=134.9s | c0(p=601)=0.00
  Ep    500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=147.3s | c0(p=601)=0.00
  Ep    600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=185.4s | c0(p=601)=0.00
  Ep    700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=197.9s | c0(p=601)=0.00
  Ep    800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=235.8s | c0(p=601)=0.00
  Ep    900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=248.2s | c0(p=601)=0.00
  Ep   1000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=286.4s | c0(p=601)=0.00
  Ep   1100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=298.8s | c0(p=601)=0.00
  Ep   1200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=336.4s | c0(p=601)=0.00
  Ep   1300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=348.8s | c0(p=601)=0.00
  Ep   1400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=386.6s | c0(p=601)=0.00
  Ep   1500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=399.1s | c0(p=601)=0.00
  Ep   1600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=437.2s | c0(p=601)=0.00
  Ep   1700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=449.6s | c0(p=601)=0.00
  Ep   1800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=487.6s | c0(p=601)=0.00
  Ep   1900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=500.0s | c0(p=601)=0.00
  Ep   2000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=538.2s | c0(p=601)=0.00
  Ep   2100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=550.6s | c0(p=601)=0.00
  Ep   2200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=588.7s | c0(p=601)=0.00
  Ep   2300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=601.2s | c0(p=601)=0.00
  Ep   2400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=639.1s | c0(p=601)=0.00
  Ep   2500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=651.5s | c0(p=601)=0.00
  Ep   2600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=689.6s | c0(p=601)=0.00
  Ep   2700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=702.0s | c0(p=601)=0.00
  Ep   2800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=740.0s | c0(p=601)=0.00
  Ep   2900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=752.4s | c0(p=601)=0.00
  Ep   3000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=790.6s | c0(p=601)=0.00
  Ep   3100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=803.0s | c0(p=601)=0.00
  Ep   3200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=841.2s | c0(p=601)=0.00
  Ep   3300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=853.6s | c0(p=601)=0.00
  Ep   3400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=891.6s | c0(p=601)=0.00
  Ep   3500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=904.0s | c0(p=601)=0.00
  Ep   3600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=942.1s | c0(p=601)=0.00
  Ep   3700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=954.5s | c0(p=601)=0.00
  Ep   3800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=992.5s | c0(p=601)=0.00
  Ep   3900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1004.9s | c0(p=601)=0.00
  Ep   4000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1043.0s | c0(p=601)=0.00
  Ep   4100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1055.4s | c0(p=601)=0.00
  Ep   4200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1093.6s | c0(p=601)=0.00
  Ep   4300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1106.0s | c0(p=601)=0.00
  Ep   4400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1143.9s | c0(p=601)=0.00
  Ep   4500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1156.3s | c0(p=601)=0.00
  Ep   4600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1194.5s | c0(p=601)=0.00
  Ep   4700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1206.9s | c0(p=601)=0.00
  Ep   4800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1245.0s | c0(p=601)=0.00
  Ep   4900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1257.4s | c0(p=601)=0.00
  Ep   5000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1295.3s | c0(p=601)=0.00
  Ep   5100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1307.7s | c0(p=601)=0.00
  Ep   5200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1345.9s | c0(p=601)=0.00
  Ep   5300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1358.3s | c0(p=601)=0.00
  Ep   5400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1396.3s | c0(p=601)=0.00
  Ep   5500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1408.8s | c0(p=601)=0.00
  Ep   5600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1447.3s | c0(p=601)=0.00
  Ep   5700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1459.9s | c0(p=601)=0.00
  Ep   5800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1498.2s | c0(p=601)=0.00
  Ep   5900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1510.8s | c0(p=601)=0.00
  Ep   6000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1552.1s | c0(p=601)=0.00
  Ep   6100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1564.9s | c0(p=601)=0.00
  Ep   6200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1605.7s | c0(p=601)=0.00
  Ep   6300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1618.5s | c0(p=601)=0.00
  Ep   6400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1658.5s | c0(p=601)=0.00
  Ep   6500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1671.3s | c0(p=601)=0.00
  Ep   6600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1713.4s | c0(p=601)=0.00
  Ep   6700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1725.8s | c0(p=601)=0.00
  Ep   6800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1763.9s | c0(p=601)=0.00
  Ep   6900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1776.4s | c0(p=601)=0.00
  Ep   7000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1814.8s | c0(p=601)=0.00
  Ep   7100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1827.2s | c0(p=601)=0.00
  Ep   7200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1865.7s | c0(p=601)=0.00
  Ep   7300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1878.1s | c0(p=601)=0.00
  Ep   7400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1915.9s | c0(p=601)=0.00
  Ep   7500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1928.3s | c0(p=601)=0.00
  Ep   7600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1966.7s | c0(p=601)=0.00
  Ep   7700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1979.1s | c0(p=601)=0.00
  Ep   7800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2016.8s | c0(p=601)=0.00
  Ep   7900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2029.2s | c0(p=601)=0.00
  Ep   8000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2067.8s | c0(p=601)=0.00
  Ep   8100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2080.2s | c0(p=601)=0.00
  Ep   8200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2118.2s | c0(p=601)=0.00
  Ep   8300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2130.6s | c0(p=601)=0.00
  Ep   8400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2169.2s | c0(p=601)=0.00
