Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M06, d_model=208, n_heads=8, n_layers=2
Params: 1,298,526 total, 1,043,744 core
WD: start=0.05, max=0.1841, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep      0 | tr=0.0020 te=0.0018 loss=6.7754 wd=0.0500 t=29.1s | c0(p=601)=0.00
  Ep    100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=78.9s | c0(p=601)=0.00
  Ep    200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=130.9s | c0(p=601)=0.00
  Ep    300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=157.0s | c0(p=601)=0.00
  Ep    400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=209.1s | c0(p=601)=0.00
  Ep    500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=234.5s | c0(p=601)=0.00
  Ep    600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=287.1s | c0(p=601)=0.00
  Ep    700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=312.6s | c0(p=601)=0.00
  Ep    800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=364.9s | c0(p=601)=0.00
  Ep    900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=390.4s | c0(p=601)=0.00
  Ep   1000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=441.4s | c0(p=601)=0.00
  Ep   1100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=467.2s | c0(p=601)=0.00
  Ep   1200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=518.8s | c0(p=601)=0.00
  Ep   1300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=545.1s | c0(p=601)=0.00
  Ep   1400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=597.4s | c0(p=601)=0.00
  Ep   1500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=622.9s | c0(p=601)=0.00
  Ep   1600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=674.9s | c0(p=601)=0.00
  Ep   1700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=700.4s | c0(p=601)=0.00
  Ep   1800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=752.7s | c0(p=601)=0.00
  Ep   1900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=779.0s | c0(p=601)=0.00
  Ep   2000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=831.3s | c0(p=601)=0.00
  Ep   2100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=856.8s | c0(p=601)=0.00
  Ep   2200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=909.1s | c0(p=601)=0.00
  Ep   2300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=934.6s | c0(p=601)=0.00
  Ep   2400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=986.3s | c0(p=601)=0.00
  Ep   2500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1012.7s | c0(p=601)=0.00
  Ep   2600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1064.2s | c0(p=601)=0.00
  Ep   2700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1089.9s | c0(p=601)=0.00
  Ep   2800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1142.1s | c0(p=601)=0.00
  Ep   2900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1167.7s | c0(p=601)=0.00
  Ep   3000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1219.6s | c0(p=601)=0.00
  Ep   3100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1245.1s | c0(p=601)=0.00
  Ep   3200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1297.4s | c0(p=601)=0.00
  Ep   3300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1323.0s | c0(p=601)=0.00
  Ep   3400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1375.3s | c0(p=601)=0.00
  Ep   3500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1401.5s | c0(p=601)=0.00
  Ep   3600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1453.8s | c0(p=601)=0.00
  Ep   3700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1479.3s | c0(p=601)=0.00
  Ep   3800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1531.4s | c0(p=601)=0.00
  Ep   3900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1556.9s | c0(p=601)=0.00
  Ep   4000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1608.8s | c0(p=601)=0.00
  Ep   4100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1635.3s | c0(p=601)=0.00
  Ep   4200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1687.1s | c0(p=601)=0.00
  Ep   4300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1712.7s | c0(p=601)=0.00
  Ep   4400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1765.0s | c0(p=601)=0.00
  Ep   4500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1790.6s | c0(p=601)=0.00
  Ep   4600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1842.9s | c0(p=601)=0.00
  Ep   4700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1869.0s | c0(p=601)=0.00
  Ep   4800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1920.8s | c0(p=601)=0.00
  Ep   4900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1946.3s | c0(p=601)=0.00
  Ep   5000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1997.3s | c0(p=601)=0.00
  Ep   5100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2022.8s | c0(p=601)=0.00
  Ep   5200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2074.8s | c0(p=601)=0.00
  Ep   5300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2100.4s | c0(p=601)=0.00
